am_sid,species_am,species_worms,keep
slb-100710,xanthias lamarcki,xanthias lamarckii,TRUE
slb-111670,bathynomus doederleini,bathynomus doederleinii,TRUE
slb-112386,jouannetia cumingi,jouannetia cumingii,TRUE
slb-118854,vexillum deshayesi,vexillum deshayesii,TRUE
its-95868,parapenaeopsis hungerfordi,parapenaeopsis hungerfordii,TRUE
slb-128839,propeamussium jeffreysi,propeamussium jeffreysii,TRUE
slb-156972,ptilocaulis walpersi,ptilocaulis walpersii,TRUE
slb-178262,siphonaria lessoni,siphonaria lessonii,TRUE
pbd-223594,jacquinotia edwardsi,jacquinotia edwardsii,TRUE
w-bch-209013,pseudoliomera helleri,pseudoliomera hellerii,TRUE
slb-188856,evasterias troscheli,evasterias troschelii,TRUE
slb-23431,pseudotanais lilljeborgi,pseudotanais lilljeborgii,TRUE
w-oct-128528,protoptilum thomsoni,protoptilum thomsonii,TRUE
slb-65046,forskalia edwardsi,forskalia edwardsii,TRUE
slb-66264,amphiura stimpsoni,amphiura stimpsonii,TRUE
slb-71452,liocranchia reinhardti,liocranchia reinhardtii,TRUE
slb-72717,cylichna verrilli,cylichna verrillii,TRUE
slb-86266,cliona schmidti,cliona schmidtii,TRUE
slb-89335,atys macandrewi,atys macandrewii,TRUE
chn-91abc70c-b6ae-49a6-840b-05ea852baff4,comanthina schlegeli,comanthina schlegelii,TRUE
slb-71652,ancistroteuthis lichtensteini,ancistroteuthis lichtensteinii,TRUE
slb-64981,agalma okeni,agalma okenii,TRUE
slb-64977,ceratocymba leuckarti,ceratocymba leuckartii,TRUE
slb-190070,hoplophrys oatesi,hoplophrys oatesii,TRUE
slb-131270,heterocarpus hayashi,heterocarpus hayashii,TRUE
slb-64971,abylopsis eschscholtzi,abylopsis eschscholtzii,TRUE
slb-6495,eusirus holmi,eusirus holmii,TRUE
slb-159897,geodia macandrewi,geodia macandrewii,TRUE
slb-72215,norrisia norrisi,norrisia norrisii,TRUE
slb-129226,coecella horsfieldi,coecella horsfieldii,TRUE
w-oct-125420,maasella edwardsi,maasella edwardsii,TRUE
slb-17074,eurycope sarsi,eurycope sarsii,TRUE
w-bch-208997,neoliomera richtersi,neoliomera richtersii,TRUE
w-bch-209083,macromedaeus voeltzkowi,macromedaeus voeltzkowii,TRUE
w-cop-221309,euaugaptilus palumboi,euaugaptilus palumboii,TRUE
slb-29429,bathyzetes setiger,bathyzetes setigera,TRUE
w-pyc-134648,callipallene tiberi,callipallene tiberii,TRUE
w-oct-289321,acanthoptilum agassizi,acanthoptilum agassizii,TRUE
slb-130968,alpheus soela,alpheus soelae,TRUE
slb-166146,tenagodus cumingi,tenagodus cumingii,TRUE
slb-169922,polyplectana kefersteini,polyplectana kefersteinii,TRUE
slb-169737,ohshimella ehrenbergi,ohshimella ehrenbergii,TRUE
slb-101069,spondylus gussoni,spondylus gussonii,TRUE
slb-67444,scrupocellaria bertholetti,scrupocellaria bertholettii,TRUE
slb-92489,corymorpha forbesi,corymorpha forbesii,TRUE
