group,species,db,spec_code,tm,age_mat_min,age_mat_min2
fish,anguilla australis,fb,297,NA,10,30
fish,anguilla australis,fb,297,NA,8,12
fish,anguilla dieffenbachii,fb,11878,NA,22,NA
fish,anguilla dieffenbachii,fb,11878,NA,12,18
fish,anguilla dieffenbachii,fb,11878,NA,33,NA
fish,anguilla dieffenbachii,fb,11878,NA,20,30
fish,anguilla dieffenbachii,fb,11878,NA,26,NA
fish,anguilla dieffenbachii,fb,11878,NA,15,21
fish,anguilla dieffenbachii,fb,11878,NA,48,NA
fish,anguilla dieffenbachii,fb,11878,NA,30,45
fish,anguilla dieffenbachii,fb,11878,NA,22,38
fish,anguilla dieffenbachii,fb,11878,NA,10,20
fish,anguilla dieffenbachii,fb,11878,NA,16,27
fish,anguilla dieffenbachii,fb,11878,NA,32,NA
fish,anguilla reinhardtii,fb,7512,NA,10,30
fish,anguilla reinhardtii,fb,7512,NA,8,12
fish,anguilla rostrata,fb,296,NA,3,6
fish,anguilla rostrata,fb,296,NA,3,10
fish,anguilla rostrata,fb,296,NA,4,18
fish,arapaima gigas,fb,2076,NA,5,NA
fish,arapaima gigas,fb,2076,NA,4,5
fish,arapaima gigas,fb,2076,6,NA,NA
fish,arripis trutta,fb,5048,NA,4,NA
fish,arripis trutta,fb,5048,4,NA,NA
fish,clupea pallasii,NA,NA,NA,NA,NA
fish,entosphenus tridentatus,NA,NA,NA,NA,NA
fish,epinephelus polyphekadion,NA,NA,NA,NA,NA
fish,lampetra tridentata,NA,NA,NA,NA,NA
fish,maccullochella peelii,fb,10311,NA,5,6
fish,maccullochella peelii,fb,10311,NA,4,5
fish,maccullochella peelii,fb,10311,NA,6.21,11.2
fish,maccullochella peelii,fb,10311,NA,4,NA
fish,maccullochella peelii,fb,10311,NA,3,4
fish,maccullochella peelii,fb,10311,NA,3,5
fish,oncorhynchus nerka,fb,243,2,NA,NA
fish,salmo salar,fb,236,5,NA,NA
fish,salmo salar,fb,236,3,NA,NA
fish,salmo salar,fb,236,5,3,7
fish,salmo salar,fb,236,NA,1,4
fish,salmo salar,fb,236,NA,3,6
fish,salmo salar,fb,236,NA,3,7
fish,salmo salar,fb,236,NA,1,3
fish,salmo salar,fb,236,4,NA,NA
fish,salmo salar,fb,236,4.9,NA,NA
fish,salmo salar,fb,236,4.3,NA,NA
fish,salmo salar,fb,236,5.2,NA,NA
fish,salmo salar,fb,236,4.8,NA,NA
fish,salmo salar,fb,236,3.9,NA,NA
fish,salmo salar,fb,236,0.8,0.5,NA
fish,salmo salar,fb,236,NA,5,7
fish,salmo salar,fb,236,NA,3,5
fish,thaleichthys pacificus,fb,256,NA,3,NA
fish,thaleichthys pacificus,fb,256,NA,2,3
fish,thaleichthys pacificus,fb,256,NA,4,5
fish,thaleichthys pacificus,fb,256,NA,2,NA
fish,thaleichthys pacificus,fb,256,NA,4,NA
fish,etrumeus teres,NA,NA,NA,NA,NA
fish,opisthonema libertate,NA,NA,NA,NA,NA
fish,opisthonema medirastre,NA,NA,NA,NA,NA
fish,hippoglossus stenolepis,fb,514,NA,7,20
fish,hippoglossus stenolepis,fb,514,NA,5,20
fish,hippoglossus stenolepis,fb,514,NA,12.1,NA
fish,hippoglossus stenolepis,fb,514,NA,10.9,NA
fish,hippoglossus stenolepis,fb,514,13,NA,NA
fish,oncorhynchus tshawytscha,fb,244,4,2,7
fish,oncorhynchus tshawytscha,fb,244,4.1,NA,NA
fish,oncorhynchus kisutch,fb,245,3,NA,NA
fish,oncorhynchus kisutch,fb,245,NA,2,4
fish,oncorhynchus gorbuscha,fb,240,2,NA,NA
fish,oncorhynchus gorbuscha,fb,240,NA,2,NA
mollusk,anadara tuberculosa,NA,NA,NA,NA,NA
mollusk,austrovenus stutchburyi,NA,NA,NA,NA,NA
mollusk,clinocardium nuttallii,NA,NA,NA,NA,NA
mollusk,crassostrea virginica,slb,48095,4,NA,NA
mollusk,echyridella menziesii,NA,NA,NA,NA,NA
mollusk,fasciolaria princeps,NA,NA,NA,NA,NA
mollusk,haliotis iris,slb,130810,NA,4,5
mollusk,haliotis kamtschatkana,slb,2569,NA,3,NA
mollusk,perna canaliculus,NA,NA,NA,NA,NA
mollusk,strombus galeatus,NA,NA,NA,NA,NA
reptile,bitis arietans,NA,NA,NA,NA,NA
reptile,chelonia mydas,slb,67018,NA,8,9
reptile,chelonia mydas,slb,67018,NA,30,50
reptile,chelonia mydas,slb,67018,NA,40,50
reptile,chelonia mydas,slb,67018,NA,17,33
reptile,chelonia mydas,slb,67018,NA,12,25
reptile,chelonia mydas,slb,67018,NA,23,35
reptile,chelonia mydas,slb,67018,NA,18,27
reptile,dendroaspis angusticeps,NA,NA,NA,NA,NA
reptile,dermochelys coriacea,slb,67021,NA,3,4
reptile,dermochelys coriacea,slb,67021,16.1,NA,NA
reptile,eretmochelys imbricata,slb,67019,3.5,NA,NA
reptile,geochelone pardalis,NA,NA,NA,NA,NA
reptile,lepidochelys olivacea,slb,67020,NA,7,9
reptile,naja haje,NA,NA,NA,NA,NA
reptile,sphenodon punctatus,NA,NA,NA,NA,NA
