k,silh
6,0.16731745462379713
7,0.1827667684742519
8,0.2027398767088717
9,0.2148236101032621
10,0.2261165944810092
11,0.22758024618981343
12,0.23686778161219976
13,0.24519600352651028
14,0.2531580661116474
15,0.25390201406823626
16,0.2639028522388714
17,0.26506262916909606
18,0.27229876703734174
19,0.27858547264958256
20,0.2856120037366162
21,0.2934771846949563
22,0.3016075320422861
23,0.3073768279668149
24,0.3120434944096965
25,0.3161897483906431
26,0.321454644924961
27,0.3259323942058447
28,0.3303346441510986
29,0.3245751513641475
30,0.32977228588867163
31,0.3342357195074029
32,0.33809868070369614
33,0.34206168903326156
34,0.35113649617250436
35,0.3549469262726652
36,0.35785257608999366
37,0.3625005228299647
38,0.36516747842731906
39,0.3674724754423547
40,0.36816811158321316
41,0.37151520094425355
42,0.3744443582287885
43,0.3772230823530929
44,0.38006394775565344
45,0.3807305463718057
46,0.3816451215553882
47,0.3848262324020165
48,0.3874039577454899
49,0.3900063961849884
50,0.3928086629332406
